stock_locate,tracking_number,timestamp,mpid,primary_market_maker,market_maker_mode,market_participant_state
6858,0,0 days 03:07:16.573743638,RBCM,1,N,A
125,0,0 days 03:07:16.573757756,SSUS,1,N,A
182,0,0 days 03:07:16.573773697,STFL,1,N,A
6837,0,0 days 03:07:16.573787641,VALX,1,N,A
693,0,0 days 03:07:16.573801806,CDRG,1,N,A
5976,0,0 days 03:07:16.573816293,CDRG,1,N,A
4067,0,0 days 03:07:16.573829660,CSTI,1,N,A
2349,0,0 days 03:07:16.573844105,CTDL,1,N,A
3957,0,0 days 03:07:16.573857786,GTSM,1,N,A
3921,0,0 days 03:07:16.573872122,RBCM,1,N,A
249,0,0 days 03:07:16.573886080,WABR,1,N,A
605,0,0 days 03:07:16.573900542,WBLR,1,N,A
3392,0,0 days 03:07:16.573915289,XGWD,1,N,A
6842,0,0 days 03:07:16.573928751,WSEA,1,N,A
2332,0,0 days 03:07:16.573943430,RBCM,1,N,A
8171,0,0 days 03:07:16.573957070,SSUS,1,N,A
1859,0,0 days 03:07:16.573971978,SSUS,1,N,A
7074,0,0 days 03:07:16.573985581,SSUS,1,N,A
297,0,0 days 03:07:16.574001695,STXG,1,N,A
4961,0,0 days 03:07:16.574016184,VALX,1,N,A
3486,0,0 days 03:07:16.574029467,BBNT,1,N,A
1286,0,0 days 03:07:16.574043659,BMOC,1,N,A
5705,0,0 days 03:07:16.574058494,GTSM,1,N,A
7565,0,0 days 03:07:16.574072595,MZHO,1,N,A
6342,0,0 days 03:07:16.574085849,RBCM,1,N,A
5299,0,0 days 03:07:16.574099476,SOHO,1,N,A
1943,0,0 days 03:07:16.574113998,VERT,1,N,A
7551,0,0 days 03:07:16.574127689,WSEA,1,N,A
5270,0,0 days 03:07:16.574141485,SOHO,1,N,A
6885,0,0 days 03:07:16.574154857,SUFI,1,N,A
6471,0,0 days 03:07:16.574169198,SUFI,1,N,A
8840,0,0 days 03:07:16.574183496,UBSS,1,N,A
1362,0,0 days 03:07:16.574198829,TSSM,1,N,A
8221,0,0 days 03:07:16.574214262,VALX,1,N,A
7014,0,0 days 03:07:16.574227823,BKCM,1,N,A
7391,0,0 days 03:07:16.574241211,ETMM,1,N,A
5574,0,0 days 03:07:16.574254963,ETMM,1,N,A
2880,0,0 days 03:07:16.574269328,GTSM,1,N,A
6243,0,0 days 03:07:16.574283238,LEHM,1,N,A
8245,0,0 days 03:07:16.574296876,MAXM,1,N,A
915,0,0 days 03:07:16.574310842,SOHO,1,N,A
5273,0,0 days 03:07:16.574325127,TSSM,1,N,A
7610,0,0 days 03:07:16.574339832,MSCO,1,N,A
3965,0,0 days 03:07:16.574373746,NITE,1,N,A
7525,0,0 days 03:07:16.574388005,RAJA,1,N,A
387,0,0 days 03:07:16.574402622,RAJA,1,N,A
7340,0,0 days 03:07:16.574416537,RAJA,1,N,A
362,0,0 days 03:07:16.574429921,RAJA,1,N,A
2228,0,0 days 03:07:16.574444354,BKCM,1,N,A
195,0,0 days 03:07:16.574460312,CDRG,1,N,A
8010,0,0 days 03:07:16.574473476,COWN,1,N,A
2708,0,0 days 03:07:16.574487473,INTL,1,N,A
6840,0,0 days 03:07:16.574500925,KEYB,1,N,A
4695,0,0 days 03:07:16.574514512,KBWI,1,N,A
3976,0,0 days 03:07:16.574528400,RBCD,1,N,A
8678,0,0 days 03:07:16.574542032,STXG,1,N,A
5705,0,0 days 03:07:16.574555888,XGWD,1,N,A
7442,0,0 days 03:07:16.574570011,MAXM,1,N,A
8788,0,0 days 03:07:16.574583561,NITE,1,N,A
8603,0,0 days 03:07:16.574597011,MZHO,1,N,A
815,0,0 days 03:07:16.574610403,SOHO,1,N,A
7114,0,0 days 03:07:16.574623895,SSUS,1,N,A
