date,SPDR S&P 500 ETF TRUST_original,CITIGROUP INC_original,SPDR S&P 500 ETF TRUST_smoothed,CITIGROUP INC_smoothed,Estimated_SPDR S&P 500 ETF TRUST_original,Estimated_SPDR S&P 500 ETF TRUST_smoothed,spread_original,spread_smoothed,z_score,hedge_ratio,intercept,side
2017-05-26,211.999,52.4753,210.5901192203796,52.00511245367223,212.52570458575536,210.65730949543752,-0.5267045857553576,-0.0671902750579143,0.59330289337969,-3.973723049260437,-4.0033954588991385,
2017-05-30,211.806,52.1121,210.83329537630368,52.02650996293779,211.1434409326957,210.80322967704373,0.6625590673042963,0.03006569925994551,1.4578202053108986,-3.974893192354791,-4.0034094033836185,
2017-05-31,211.769,51.1812,211.02043630104293,51.85744797035023,208.0294165208876,210.72517058309046,3.739583479112407,0.2952657179524705,2.8096390647698084,-3.9863395978944465,-4.003772293132362,
2017-06-01,213.433,51.6383,211.50294904083435,51.81361837628018,210.4855783375744,211.18660831467542,2.947421662425608,0.3163407261589377,2.336587684613956,-3.998610938426056,-4.004107115848161,
2017-06-02,214.152,51.6657,212.03275923266747,51.78403470102415,211.2376744990392,211.71231988429,2.914325500960776,0.3204393483774668,1.9759654721804591,-4.011041403264664,-4.004412670388045,
2017-06-05,213.999,51.7832,212.426007386134,51.78386776081932,212.18602405209816,212.1887086176287,1.8129759479018412,0.23729876850530562,1.3893956150304012,-4.020250144763411,-4.00460675578548,
2017-06-06,213.301,51.5796,212.60100590890718,51.74301420865545,211.7511102674039,212.40929105706937,1.549889732596073,0.19171485183780312,1.0632138705526641,-4.0276839760806045,-4.004781854756784,
2017-06-07,213.693,52.3148,212.81940472712574,51.85737136692436,214.67821794565882,212.83613759712134,-0.9852179456588166,-0.016732869995606414,0.08038153896920991,-4.027033323541217,-4.00477503126477,
2017-06-08,213.807,53.4414,213.0169237817006,52.17417709353949,218.46245996879816,213.37716132557287,-4.655459968798176,-0.36023754387228024,-1.3704953538769475,-4.012947222860014,-4.004942253047041,
2017-06-09,213.482,54.4879,213.1099390253605,52.63692167483159,221.1792937160147,213.80181341535757,-7.697293716014714,-0.6918743899970838,-2.294385887045396,-3.9857194437897667,-4.005811234742284,
2017-06-12,213.433,54.3803,213.17455122028838,52.98559733986527,219.3504989523583,213.8275283795858,-5.91749895235831,-0.6529771592974303,-1.8854567083469296,-3.959962743771486,-4.006536957241773,
2017-06-13,214.486,54.6906,213.4368409762307,53.32659787189222,219.3680522542828,213.99687735852433,-4.8820522542828,-0.5600363822936201,-1.4421045967141892,-3.937805363404842,-4.007114246453912,
2017-06-14,214.209,54.716,213.59127278098458,53.60447829751377,218.42716617266535,214.07136304708337,-4.218166172665363,-0.4800902660987987,-1.1847989499693554,-3.918774699440438,-4.007489718082368,
